Company_Name,Location,Company_Id,Area ,Industry ,Country
Topdrive,59 Sage Road,TMB38,Gateway Street,Health Care,Brazil
Twitterbridge,580 Bultman Terrace,fpD22,Gateway Street,Consumer Services,China
Thoughtstorm,91631 Hudson Parkway,opS52,Douglass Park,n/a,China
Linkbuzz,7 Garrison Circle,SvW80,Hi Tech City,Consumer Services,Brazil
Yozio,984 Tony Parkway,6eL76,LaSalle Street,Consumer Non-Durables,China
Photospace,520 Bonner Avenue,vvW93,Financial District,Health Care,China
Feedfish,04426 Bartelt Drive,sjB67,Miami's Brickell,n/a,China
Plambee,81 Buell Drive,sVX39,Miami's Brickell,Basic Industries,China
Plajo,38 Vahlen Road,PtA50,Pinnacle Point,Public Utilities,Russia
Flashdog,15496 Messerschmidt Parkway,qrU42,LaSalle Street,Health Care,China
Oodoo,770 Erie Plaza,ZkW53,Douglass Park,Finance,United States
Jazzy,5 Emmet Place,UhD10,Financial District,Technology,France
Dynazzy,8025 Nevada Hill,mOK23,LaSalle Street,n/a,Sweden
Feedbug,75595 Crowley Alley,DjM87,Connaught Place,Basic Industries,France
Oyoyo,8 Blackbird Trail,DCA60,Gateway Street,Energy,Brazil
Wikibox,1 Kingsford Avenue,ZIE34,Financial District,Health Care,China
Geba,200 Pankratz Parkway,H5P63,Gateway Street,Technology,France
Flashspan,2124 Cottonwood Drive,uMV47,Wall Street,Consumer Durables,China
Kamba,63 Crescent Oaks Avenue,1fK60,Miami's Brickell,Consumer Durables,China
Aimbu,2 Caliangt Plaza,nyM94,Pinnacle Point,Consumer Durables,China
Meejo,3052 Golf Center,JfY59,Connaught Place,Miscellaneous,China
Aimbu,1078 Emmet Pass,TCM98,White Field,Energy,China
Yombu,46760 Westend Hill,hJA91,Hi Tech City,Consumer Non-Durables,China
Jaxworks,87 Farwell Crossing,87D43,Gateway Street,Finance,China
Jabberstorm,4 Holy Cross Trail,KdO40,Wall Street,Finance,China
DabZ,65969 Mayfield Way,KTJ36,White Field,Technology,France
Riffpath,24323 Mandrake Trail,S5L54,Douglass Park,n/a,Sweden
Babbleset,02996 Sachtjen Circle,fnT87,Hi Tech City,Finance,France
Twitterworks,2837 Jackson Avenue,B8H59,White Field,n/a,China
Trupe,7256 Londonderry Alley,jHI26,White Field,Consumer Services,France
Kayveo,87 Luster Road,3UW95,Wall Street,Miscellaneous,Russia
Youspan,44 Sunnyside Terrace,xYH90,Miami's Brickell,n/a,China
Babbleblab,9230 Namekagon Circle,KtV82,Miami's Brickell,Finance,China
Abatz,9144 Elmside Pass,RQS12,Gateway Street,Consumer Non-Durables,China
Twinder,6660 Upham Street,nrR35,Pinnacle Point,Health Care,Russia
Cogilith,05 American Road,9KD51,Miami's Brickell,Consumer Services,Germany
Realcube,382 Pankratz Park,CxQ44,Gateway Street,Consumer Services,China
Avamm,3720 Anzinger Park,90M80,Douglass Park,Public Utilities,China
Voonte,20 Southridge Center,J1V36,Pinnacle Point,Finance,France
Yodel,4 Killdeer Hill,NZT27,LaSalle Street,Technology,Sweden
Thoughtmix,239 Lunder Circle,jLO18,LaSalle Street,Basic Industries,China
Tagcat,15 Carpenter Circle,v3J31,Wall Street,Health Care,China
Voomm,09104 Holmberg Parkway,WlB03,Pinnacle Point,Consumer Services,China
Bluezoom,0 Pennsylvania Park,xhF16,Gateway Street,Health Care,China
Oyoba,662 Burning Wood Lane,H4U97,White Field,Finance,Sweden
Tagpad,706 Randy Circle,TCH12,Miami's Brickell,Consumer Non-Durables,Brazil
Kazio,1201 Pepper Wood Parkway,PMB31,Hi Tech City,Consumer Durables,China
Oyoba,2 Butterfield Junction,D2A81,Financial District,Consumer Services,China
Yodoo,3251 Armistice Junction,JyF59,Miami's Brickell,Public Utilities,China
Twimbo,8 Mandrake Avenue,JbU90,Gateway Street,Health Care,Russia
Leenti,6 Roxbury Plaza,U4Q92,Pinnacle Point,Consumer Non-Durables,China
