Room_Id,Room_Name,Booking_Id,Capacity,Room_type,Building_Number,Building_Name,Floor_Number,Utilities,Media
3V-31,Krone,v5N-56cs,6,Conference Hall,h21-35ru,Caryophyllaceae,4,Marker,http://dummyimage.com/121x100.png/5fa2dd/ffffff
dR-2Q,Yuan Renminbi,9J9-99pZ,5,Conference Hall,F8V-67FF,Hypnaceae,4,Air Conditioner,http://dummyimage.com/161x100.png/ff4444/ffffff
sc-2z,Peso,2Iv-63ad,4,Conference Hall,H3v-91iq,Poaceae,9,Projector,http://dummyimage.com/108x100.png/ff4444/ffffff
hp-0C,Hryvnia,qST-13BQ,10,Conference Hall,48V-65Y5,Stereocaulaceae,1,Projector,http://dummyimage.com/117x100.png/cc0000/ffffff
Pe-1K,Marka,pTy-54ak,4,Conference Hall,S83-14yQ,Poaceae,2,Monitor,http://dummyimage.com/113x100.png/5fa2dd/ffffff
J7-2s,Taka,7pC-51p6,9,Conference Hall,n0R-486Q,Asteraceae,2,Projector,http://dummyimage.com/153x100.png/dddddd/000000
gD-1b,Franc,WSk-08zE,10,Conference Hall,R5F-9455,Moraceae,8,Duster,http://dummyimage.com/213x100.png/ff4444/ffffff
cL-7h,Tugrik,ZyB-48L5,7,Conference Hall,e8k-958y,Trichotheliaceae,2,Water Filter,http://dummyimage.com/138x100.png/5fa2dd/ffffff
fV-7t,Rupiah,xcj-09m0,10,Conference Hall,r5Y-06DK,Polemoniaceae,1,Projector,http://dummyimage.com/107x100.png/ff4444/ffffff
6b-1C,Yuan Renminbi,a7L-79Qf,6,Conference Hall,B4Z-16Up,Orchidaceae,5,Water Filter,http://dummyimage.com/166x100.png/dddddd/000000
6t-9f,Ruble,IOs-801e,2,Cubicle,V2n-29Zf,Asteraceae,1,Monitor,http://dummyimage.com/224x100.png/cc0000/ffffff
Pt-9E,Rupiah,73R-25UT,1,Cubicle,84b-37Lu,Fabaceae,0,Monitor,http://dummyimage.com/191x100.png/dddddd/000000
Zi-7U,Real,y2h-25s9,10,Conference Hall,12t-82IK,Asteraceae,4,Air Conditioner,http://dummyimage.com/111x100.png/cc0000/ffffff
LN-6G,Franc,Qew-54k3,3,Conference Hall,x9x-52G0,Liliaceae,5,Duster,http://dummyimage.com/137x100.png/cc0000/ffffff
Sq-3a,Rial,YfU-748N,4,Conference Hall,N7g-68ga,Rosaceae,4,Air Conditioner,http://dummyimage.com/196x100.png/5fa2dd/ffffff
PD-0V,Rupiah,Hpo-03js,6,Conference Hall,i8z-81nY,Rosaceae,8,Air Conditioner,http://dummyimage.com/227x100.png/cc0000/ffffff
FD-1v,Kip,ySF-81l0,1,Cubicle,O1N-27mi,Poaceae,3,Air Conditioner,http://dummyimage.com/103x100.png/5fa2dd/ffffff
2I-7P,Euro,zXu-22Yi,6,Conference Hall,b3V-53dU,Zingiberaceae,5,Duster,http://dummyimage.com/120x100.png/cc0000/ffffff
us-3R,Peso,jVj-73eJ,9,Conference Hall,W2H-14dS,Asteraceae,6,Projector,http://dummyimage.com/234x100.png/cc0000/ffffff
rO-3p,Yuan Renminbi,64S-31eF,8,Conference Hall,m3s-53re,Polygonaceae,7,Marker,http://dummyimage.com/182x100.png/5fa2dd/ffffff
mL-0a,Baht,QCm-54jE,4,Conference Hall,G4J-28dV,Cyperaceae,9,Marker,http://dummyimage.com/181x100.png/5fa2dd/ffffff
KM-9F,Franc,3L1-04cv,9,Conference Hall,q7U-08DI,Asteraceae,7,Water Filter,http://dummyimage.com/171x100.png/dddddd/000000
aH-3F,Rupiah,JPY-84Et,6,Conference Hall,706-89CY,Asteraceae,1,Duster,http://dummyimage.com/201x100.png/5fa2dd/ffffff
fw-8y,Ringgit,cvt-97Le,3,Conference Hall,k2A-13lb,Pyrenulaceae,9,Water Filter,http://dummyimage.com/129x100.png/ff4444/ffffff
R6-9o,Yuan Renminbi,htZ-58HW,10,Conference Hall,L0J-58HD,Asteraceae,3,Monitor,http://dummyimage.com/198x100.png/ff4444/ffffff
TP-6d,Peso,bGj-934g,1,Cubicle,g0l-21fY,Fabaceae,9,Air Conditioner,http://dummyimage.com/232x100.png/dddddd/000000
DL-3Y,Pound,5ct-01yk,9,Conference Hall,d6w-735W,Asteraceae,8,Water Filter,http://dummyimage.com/192x100.png/ff4444/ffffff
2h-1V,Dollar,yPD-82xO,9,Conference Hall,Y92-45FM,Umbilicariaceae,5,Air Conditioner,http://dummyimage.com/167x100.png/5fa2dd/ffffff
ob-4c,Sol,KxF-97oZ,2,Cubicle,U9w-336G,Nymphaeaceae,7,Water Filter,http://dummyimage.com/217x100.png/5fa2dd/ffffff
eg-8f,Yuan Renminbi,9mQ-29Bv,2,Cubicle,A3T-28xp,Dryopteridaceae,2,Duster,http://dummyimage.com/171x100.png/5fa2dd/ffffff
Me-6y,Afghani,maw-94h3,4,Conference Hall,R5t-10In,Moraceae,4,Duster,http://dummyimage.com/241x100.png/dddddd/000000
03-0l,Zloty,4tG-51qX,1,Cubicle,M65-02j7,Asteraceae,1,Air Conditioner,http://dummyimage.com/127x100.png/5fa2dd/ffffff
YB-2X,Ruble,mLT-57zO,2,Conference Hall,f74-16Wk,Asteraceae,8,Monitor,http://dummyimage.com/221x100.png/ff4444/ffffff
32-6o,Ringgit,otx-92Xx,5,Conference Hall,n55-19aQ,Lamiaceae,1,Marker,http://dummyimage.com/169x100.png/5fa2dd/ffffff
QW-4C,Dollar,uQX-74zt,2,Conference Hall,W9a-722G,Oxalidaceae,0,Air Conditioner,http://dummyimage.com/162x100.png/5fa2dd/ffffff
dp-9f,Real,nb0-93IG,1,Cubicle,C9C-13ho,Chenopodiaceae,9,Air Conditioner,http://dummyimage.com/203x100.png/cc0000/ffffff
PA-7p,Litas,VFx-31nt,10,Conference Hall,F3A-3632,Piperaceae,9,Air Conditioner,http://dummyimage.com/201x100.png/5fa2dd/ffffff
5R-5X,Euro,LcZ-61Sm,7,Conference Hall,96k-03Uq,Poaceae,7,Projector,http://dummyimage.com/186x100.png/cc0000/ffffff
7d-4n,Peso,eJV-921T,9,Conference Hall,N8K-86g5,Polemoniaceae,1,Air Conditioner,http://dummyimage.com/220x100.png/5fa2dd/ffffff
eY-7K,Euro,Jl6-59i1,5,Conference Hall,o3x-67Xs,Boraginaceae,0,Air Conditioner,http://dummyimage.com/161x100.png/cc0000/ffffff
0j-8K,Manat,H4o-9803,9,Conference Hall,k7N-10mR,Ranunculaceae,9,Water Filter,http://dummyimage.com/193x100.png/ff4444/ffffff
7P-4P,Rupiah,Zbs-37UV,2,Cubicle,21b-10cH,Poaceae,2,Monitor,http://dummyimage.com/184x100.png/cc0000/ffffff
8m-1W,Baht,J1i-59JA,6,Conference Hall,X65-42w6,Onagraceae,6,Duster,http://dummyimage.com/185x100.png/ff4444/ffffff
mo-87,Krona,b5q-43bu,1,Conference Hall,s70-40fK,Dryopteridaceae,3,Marker,http://dummyimage.com/165x100.png/cc0000/ffffff
3A-06,Hryvnia,6Js-14KT,8,Conference Hall,A1f-45bn,Fabaceae,4,Duster,http://dummyimage.com/137x100.png/ff4444/ffffff
Vg-5Q,Dong,ILv-18Z2,1,Conference Hall,J5O-77ue,Betulaceae,6,Marker,http://dummyimage.com/244x100.png/dddddd/000000
XV-1l,Dollar,wsK-468y,6,Conference Hall,G1G-99Xb,Dicranaceae,8,Air Conditioner,http://dummyimage.com/184x100.png/cc0000/ffffff
Tp-7H,Dong,MeX-54nN,7,Conference Hall,12a-04Qg,Asteraceae,6,Marker,http://dummyimage.com/228x100.png/cc0000/ffffff
